tmdbId,title,overview,cast,director
274,"Silence of the Lambs, The (1991)","FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.","Jodie Foster,Anthony Hopkins,Scott Glenn",Jonathan Demme
277,Underworld (2003),"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.","Kate Beckinsale,Scott Speedman,Michael Sheen",
326,Snakes on a Plane (2006),"America is on the search for the murderer Eddie Kim. Sean Jones must fly to L.A. to testify in a hearing against Kim. Accompanied by FBI agent Neville Flynn, the flight receives some unexpected visitors.","Samuel L. Jackson,Julianna Margulies,Nathan Phillips",David R. Ellis
348,Alien (1979),"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.","Sigourney Weaver,Tom Skerritt,John Hurt",Ridley Scott
377,"Nightmare on Elm Street, A (1984)","Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson (Heather Langenkamp) traces the cause to child molester Fred Krueger (Robert Englund), who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen (Johnny Depp), must devise a plan to lure the monster out of the realm of nightmares and into the real world...","Heather Langenkamp,Robert Englund,John Saxon",
395,AVP: Alien vs. Predator (2004),"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.","Sanaa Lathan,Raoul Bova,Lance Henriksen",
431,Cube (1997),Seven strangers are taken out of their daily lives and placed mysteriously in a deadly cube where they all agree they must find their way out.,"Nicole de Boer,Nicky Guadagni,Maurice Dean Wint",
437,Cube 2: Hypercube (2002),The sequel to the low budget first film â€˜Cube.â€™ This time the prisoners find them selves in a more advanced cube environment that they must escape from before they are killed. A science fiction film where space and time have more than one path.,"Kari Matchett,Geraint Wyn Davies,Grace Lynn Kung",Andrzej Sekula
438,Cube Zero (2004),Cube Zero is the third film in the trilogy yet this time instead of a film about people trapped in a deadly cube trying to get out we see it from the eyes of someone who is controlling the cube and the torture of the victims inside. When the nerd canâ€™t stand to see a woman suffer he himself enters the cube to try and save her.,"Zachary Bennett,Stephanie Moore,Michael Riley",
440,AVPR: Aliens vs. Predator - Requiem (2007),"A sequel to 2004's Alien vs. Predator, the iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever - in our own backyard. The small town of Gunnison, Colorado becomes a war zone between two of the deadliest extra-terrestrial life forms - the Alien and the Predator. When a Predator scout ship crash-lands in the hills outside the town, Alien Facehuggers and a hybrid Alien/Predator are released and begin to terrorize the town.","Steven Pasquale,Reiko Aylesworth,John Ortiz",Colin Strause
467,The Hole (2001),Four teenagers at a British private school secretly uncover and explore the depths of a sealed underground hole created decades ago as a possible bomb shelter.,"Thora Birch,Desmond Harrington,Keira Knightley",Nick Hamm
539,Psycho (1960),"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fineâ€¦ until Marion decides to take a shower.","Anthony Perkins,Janet Leigh,Vera Miles",Alfred Hitchcock
561,Constantine (2005),"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.","Keanu Reeves,Rachel Weisz,Shia LaBeouf",Francis Lawrence
564,"Mummy, The (1999)","Dashing legionnaire Rick O'Connell and his companion, Beni stumble upon the hidden ruins of Hamunaptra while in the midst of a battle in 1923, 3,000 years after Imhotep has suffered a fate worse than death â€“ his body will remain undead for all eternity as a punishment for a forbidden love.","Brendan Fraser,Rachel Weisz,John Hannah",
565,"Ring, The (2002)","It sounded like just another urban legend: A videotape filled with nightmarish images, leading to a phone call foretelling the viewer's death in exactly seven days. As a newspaper reporter, Rachel Keller was naturally skeptical of the story, until four teenagers all met with mysterious deaths exactly one week after watching just such a tape. Allowing her investigative curiosity to get the better of her, Rachel tracks down the video... and watches it. Now she has just seven days to unravel the mystery of the Ring.","Naomi Watts,Martin Henderson,David Dorfman",Gore Verbinski
571,"Birds, The (1963)","Chic socialite Melanie Daniels enjoys a passing flirtation with an eligible attorney in a San Francisco pet shop and, on an impulse, follows him to his hometown bearing a gift of lovebirds. But upon her arrival, the bird population runs amok. Suddenly, the townsfolk face a massive avian onslaught, with the feathered fiends inexplicably attacking people all over Bodega Bay.","Tippi Hedren,Rod Taylor,Jessica Tandy",Alfred Hitchcock
572,Next Door (Naboer) (2005),"After Ingrid leaves John, he allows himself to be pulled into a mystical and scary world where it is impossible to separate truth from lies.","Kristoffer Joner,Cecilie A. Mosli,Julia Schacht",Tony Spataro
578,Jaws (1975),"An insatiable great white shark terrorizes the townspeople of Amity Island, The police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast.","Roy Scheider,Richard Dreyfuss,Robert Shaw",Steven Spielberg
579,Jaws 2 (1978),Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,"Roy Scheider,Lorraine Gary,Murray Hamilton",Jeannot Szwarc
580,Jaws: The Revenge (1987),"After another deadly shark attack, Ellen Brody decides she has had enough of New England's Amity Island and moves to the Caribbean to join her son, Michael, and his family. But a great white shark has followed her there, hungry for more lives.","Lorraine Gary,Lance Guest,Mario Van Peebles",Joseph Sargent
588,Silent Hill (2006),"The eerie and deserted ghost town of Silent Hill draws a young mother desperate to find a cure for her only child's illness. Unable to accept the doctor's diagnosis that her daughter should be permanently institutionalized for psychiatric care, Rose flees with her child, heading for the abandoned town in search of answers â€“ and ignoring the protests of her husband. It's soon clear this place is unlike anywhere she's ever been. It's smothered by fog, inhabited by a variety of strange beings and periodically overcome by a living 'darkness' that literally transforms everything it touches. As Rose searches for her little girl, she begins to learn the history of the strange town and realizes that her daughter is just a pawn in a larger game.","Radha Mitchell,Sean Bean,Jodelle Ferland",Christophe Gans
609,Poltergeist (1982),"Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late.","Craig T. Nelson,JoBeth Williams,Beatrice Straight",Tobe Hooper
622,"Ninth Gate, The (1999)","An all-expenses-paid international search for a rare copy of the book, 'The Nine Gates of the Shadow Kingdom' brings an unscrupulous book dealer deep into a world of murder, double-dealing and satanic worship.","Johnny Depp,Frank Langella,Lena Olin",
628,Interview with the Vampire: The Vampire Chronicles (1994),"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.","Brad Pitt,Tom Cruise,Kirsten Dunst",Neil Jordan
635,Angel Heart (1987),"The down-and-out private detective Harry Angel is ordered, by a mysterious man named Louis Cyphre, to go on a mission to find a missing person. His routine failure soon leads to a bloody spar with himself as Harry Angel goes on a supernatural journey into his soul.","Mickey Rourke,Robert De Niro,Lisa Bonet",
653,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)","Vampire Count Orlok is interested in a new residence and in real estate agent Hutter's young wife. Silent horror classic based on the Bram Stoker novel ""Dracula"".","Max Schreck,Gustav von Wangenheim,Greta SchrÃ¶der",F. W. Murnau
663,Saw IV (2007),"Jigsaw and his apprentice Amanda are dead. Now, upon the news of Detective Kerry's murder, two seasoned FBI profilers, Agent Strahm and Agent Perez, arrive in the terrified community to assist the veteran Detective Hoffman in sifting through Jigsaw's latest grisly remains and piecing together the puzzle. However, when SWAT Commander Rigg is abducted and thrust into a game, the last officer untouched by Jigsaw has but ninety minutes to overcome a series of demented traps and save an old friend...or face the deadly consequences.","Tobin Bell,Costas Mandylor,Scott Patterson",Darren Lynn Bousman
679,Aliens (1986),"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.","Sigourney Weaver,Carrie Henn,Michael Biehn",
694,"Shining, The (1980)","Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.","Jack Nicholson,Shelley Duvall,Danny Lloyd",
745,"Sixth Sense, The (1999)","A psychological thriller about an eight year old boy named Cole Sear who believes he can see into the world of the dead. A child psychologist named Malcolm Crowe comes to Cole to help him deal with his problem, learning that he really can see ghosts of dead people.","Bruce Willis,Haley Joel Osment,Toni Collette",
747,Shaun of the Dead (2004),"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.","Simon Pegg,Nick Frost,Kate Ashfield",
755,From Dusk Till Dawn (1996),"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.","George Clooney,Quentin Tarantino,Harvey Keitel",Robert Rodriguez
763,Dead Alive (Braindead) (1992),"When a Sumatran rat-monkey bites Lionel Cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while Lionel races to keep things under control.","Timothy Balme,Diana PeÃ±alver,Elizabeth Moody",
764,"Evil Dead, The (1981)","When a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest.","Bruce Campbell,Ellen Sandweiss,Richard DeManincor",
765,Evil Dead II (Dead by Dawn) (1987),Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from â€œThe Book of the Dead.â€ As they play the recording an evil power is unleashed taking over Lindaâ€™s body.,"Bruce Campbell,Sarah Berry,Dan Hicks",
766,Army of Darkness (1993),"A man is accidentally transported to 1300 A.D., where he must battle an army of the dead and retrieve the Necronomicon so he can return home.","Bruce Campbell,Embeth Davidtz,Marcus Gilbert",
768,From Hell (2001),Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,"Johnny Depp,Heather Graham,Ian Holm",Albert Hughes
779,Vampyr (1932),A traveler obsessed with the supernatural visits an old inn and finds evidence of vampires.,"Nicolas de Gunzburg,Maurice Schutz,Rena Mandel",
790,"Fog, The (1980)","Strange things begin to occurs as a tiny California coastal town prepares to commemorate its centenary. Inanimate objects spring eerily to life; Rev. Malone stumbles upon a dark secret about the town's founding; radio announcer Stevie witnesses a mystical fire; and hitchhiker Elizabeth discovers the mutilated corpse of a fisherman. Then a mysterious iridescent fog descends upon the village, and more people start to die.","Adrienne Barbeau,Jamie Lee Curtis,Hal Holbrook",
791,"Fog, The (2005)","Trapped within an eerie mist, the residents of Antonio Bay have become the unwitting victims of a horrifying vengeance. One hundred years earlier, a ship carrying lepers was purposely lured onto the rocky coastline and sank, drowning all aboard. Now they're back â€“ long-dead mariners who've waited a century for their revenge.","Tom Welling,Maggie Grace,Selma Blair",Rupert Wainwright
794,"Omen, The (1976)","Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesnâ€™t know is that their new son is the son of the devil. A classic horror film with Gregory Peck from 1976.","Gregory Peck,Lee Remick,David Warner",Richard Donner
805,Rosemary's Baby (1968),A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.,"Mia Farrow,John Cassavetes,Ruth Gordon",
806,"Omen, The (2006)",A diplomatic couple adopts the son of the devil without knowing it. A remake of the classic horror film of the same name from 1976.,"Liev Schreiber,Julia Stiles,Seamus Davey-Fitzpatrick",John Moore
814,"American Werewolf in London, An (1981)",Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.,"David Naughton,Jenny Agutter,Griffin Dunne",
827,Diabolique (Les diaboliques) (1955),"In this classic of French suspense, the cruel and abusive headmaster of a boarding school, Michel Delassalle, becomes the target of a murder plot hatched by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women, brought together by their mutual hatred for the man, pull off the crime but become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.","VÃ©ra Clouzot,Simone Signoret,Jean Brochard",
834,Underworld: Evolution (2006),"As the war between the vampires and the Lycans rages on, Selene, a former member of the Death Dealers (an elite vampire special forces unit that hunts werewolves), and Michael, the werewolf hybrid, work together in an effort to unlock the secrets of their respective bloodlines.","Kate Beckinsale,Scott Speedman,Tony Curran",
837,Videodrome (1983),A sleazy cable-TV programmer begins to see his life and the future of media spin out of control in a very unusual fashion when he acquires a new kind of programming for his station.,"James Woods,Sonja Smits,Debbie Harry",
919,Blood: The Last Vampire (2000),"In Japan, the vampire-hunter Saya, who is a powerful original, is sent by her liaison with the government, David, posed as a teenage student to the Yokota High School on the eve of Halloween to hunt down vampires. Saya asks David to give a new katana to her. Soon she saves the school nurse Makiho Amano from two vampires disguised of classmates and Makiho witnesses her fight against the powerful demon.","Youki Kudoh,Saemi Nakamura,Joe Romersa",Hiroyuki Kitakubo
923,Dawn of the Dead (1978),"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.","David Emge,Ken Foree,Scott H. Reiniger",
924,Dawn of the Dead (2004),"A group of surviving people take refuge in a shopping center after the world has been over taken over by aggressive, flesh-eating zombies. A remake of the 1978 zombie film of the same name.","Sarah Polley,Ving Rhames,Jake Weber",Zack Snyder
927,Gremlins (1984),"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town.","Zach Galligan,Phoebe Cates,Hoyt Axton",Joe Dante
928,Gremlins 2: The New Batch (1990),"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!","Zach Galligan,Phoebe Cates,John Glover",Joe Dante
931,Don't Look Now (1973),"After Laura and John Baxter lose their only child in a horrible drowning, they are greeted by strange sightings of her throughout their everyday lives. When two old ladies approach them in Italy with news that their daughter may still be alive, it seems too good to be true. Perhaps it is...","Julie Christie,Donald Sutherland,Hilary Mason",Nicolas Roeg
948,Halloween (1978),"In John Carpenter's horror classic, a psychotic murderer, institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets.","Donald Pleasence,Jamie Lee Curtis,Nancy Kyes",
964,"Phantom of the Opera, The (1925)","A grotesquely disfigured composer known as the ""Phantom"" haunts Paris' opera house, where he's secretly grooming Christine Daae to be an opera diva. Luring her to his underground lair, the Phantom declares his love. But Christine loves Raoul de Chagny and plans to elope with him after her next performance. When the Phantom finds out, he abducts Christine, incurring the wrath of Raoul -- and a horde of rabid Parisians.","Lon Chaney,Mary Philbin,Norman Kerry",Rupert Julian
985,Eraserhead (1977),"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.","Jack Nance,Charlotte Stewart,Allen Joseph",
1091,"Thing, The (1982)",Scientists in the Antarctic are confronted by a shape-shifting alien that assumes the appearance of the people that it kills.,"Kurt Russell,Keith David,Wilford Brimley",John Carpenter
1248,Hannibal Rising (2007),"The story of the early, murderous roots of the cannibalistic killer, Hannibal Lecter â€“ from his hard-scrabble Lithuanian childhood, where he witnesses the repulsive lengths to which hungry soldiers will go to satiate themselves, through his sojourn in France, where as a med student he hones his appetite for the kill.","Gaspard Ulliel,Aaran Thomas,Gong Li",Peter Webber
1255,"Host, The (Gwoemul) (2006)","Gang-du is a dim-witted man working at his father's tiny snack bar near the Han River. One day, Gang-du's one and only daughter Hyun-seo comes back from school irritated. She is angry at her uncle, Nam-il, who visited her school as her guardian shamelessly drunk. Ignoring her father's excuses for Nam-il, Hyun-seo is soon engrossed in her aunt Nam-joo's archery tournament on TV. Meanwhile, outside of the snack bar, people are fascinated by an unidentified object hanging onto a bridge. In an instant, the object reveals itself as a terrifying creature turning the riverbank into a gruesome sea of bloodÂ¡Â¦ Amid the chaos, Hyun-seo is helplessly snatched up by the creature right before Gang-du's eyes. These unforeseen circumstances render the government powerless to act. But receiving a call of help from Hyun-seo, the once-ordinary citizen Gang-du and his family are thrust into a battle with the monster to rescue their beloved Hyun-seo.","Song Kang-ho,Byun Hee-bong,Park Hae-il",
1359,American Psycho (2000),"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.","Christian Bale,Willem Dafoe,Jared Leto",
1433,"Devil's Backbone, The (Espinazo del diablo, El) (2001)","After losing his father, 10-year-old Carlos arrives at the Santa Lucia School, which shelters orphans of the Republican militia and politicians, and is taken in by the steely headmistress, Carmen, and the kindly professor, Casares. Soon after his arrival, Carlos has a run-in with the violent caretaker, Jacinto. Gradually, Carlos uncovers the secrets of the school, including the youthful ghost that wanders the grounds.","Marisa Paredes,Eduardo Noriega,Federico Luppi",
1450,Blood: The Last Vampire (2009),"On the surface, Saya is a stunning 16-year-old, but that youthful exterior hides the tormented soul of a 400-year-old ""halfling."" Born to a human father and a vampire mother, she has for centuries been a loner obsessed with using her samurai skills to rid the world of vampires, all the while knowing that she herself can survive only on blood like those she hunts.","Jun Ji-hyun,Allison Miller,Liam Cunningham",Chris Nahon
1483,Begotten (1990),"Begotten is the creation myth brought to life, the story of no less than the violent death of God and the (re)birth of nature on a barren earth.","Brian Salzberg,Donna Dempsey,Stephen Charles Barry",
1487,Hellboy (2004),"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon - Hellboy - has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil.","Ron Perlman,John Hurt,Selma Blair",
1547,"Lost Boys, The (1987)",A mother and her two teenage sons move to a seemingly nice and quiet small coastal California town yet soon find out that it's overrun by bike gangs and vampires. A couple of teenage friends take it upon themselves to hunt down the vampires that they suspect of a few mysterious murders and restore peace and calm to their town.,"Jason Patric,Corey Haim,Dianne Wiest",Joel Schumacher
1551,Flatliners (1990),"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. A science fiction thriller from the early 1990's with a star studded cast.","Kiefer Sutherland,Julia Roberts,Kevin Bacon",Joel Schumacher
1560,Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma) (1990),"Singapore Sling is chasing after Laura, a romantic memory from his past. One night he finds himself in a mysterious villa, watching two women bury a body. He falls into their trap and, in an atmosphere of isolation and decadence, the trio act out insane pleasure games and a ritual of blood and murder.","Meredyth Herold,Michele Valley,Panos Thanassoulis",
1562,28 Weeks Later (2007),"In this chilling sequel to 28 Days Later, the inhabitants of the British Isles appear to have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.","Robert Carlyle,Rose Byrne,Jeremy Renner",
1576,Resident Evil (2002),"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak. Alice and Rain are charged with leading the mission. But they only have three hours before the pathogen becomes airborne and infects the world.","Milla Jovovich,Michelle Rodriguez,Eric Mabius",
1577,Resident Evil: Apocalypse (2004),"As the city is locked down under quarantine, Alice joins a small band of elite soldiers, enlisted to rescue the missing daughter of the creator of the mutating T-virus. It's a heart-pounding race against time as the group faces off against hordes of blood- thirsty zombies, stealthy Lickers, mutant canines and the most sinister foe yet.","Milla Jovovich,Sienna Guillory,Oded Fehr",Alexander Witt
1596,Population 436 (2006),A census-taker (Sisto) is sent to investigate why a certain small town has had the same population -- 436 residents -- for the last 100 years.,"Jeremy Sisto,Charlotte Sullivan,Fred Durst",Michelle MacLaren
1678,Godzilla (Gojira) (1954),"Japan is thrown into a panic after several ships explode and are sunk near Odo Island. An expedition to the island led by paleontologist Professor Kyohei Yemani soon discover something more devastating than imagined in the form of a 164 foot tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well.","Akira Takarada,Momoko KÃ´chi,Akihiko Hirata",
1679,Godzilla Raids Again (Gojira no gyakush?¯) (1955),"In a hastily produced first-sequel to the classic ""Gojira"", two pilots race back to Japan to inform the government that two giants monsters are on the loose. Soon, the two monsters arrive in Osaka where they resume their battle.","Hiroshi Koizumi,Setsuko Wakayama,Minoru Chiaki",Motoyoshi Oda
1683,"Reaping, The (2007)","Katherine Morrissey, a former Christian missionary, lost her faith after the tragic deaths of her family. Now she applies her expertise to debunking religious phenomena. When a series of biblical plagues overrun a small town, Katherine arrives to prove that a supernatural force is not behind the occurrences, but soon finds that science cannot explain what is happening. Instead, she must regain her faith to combat the evil that waits in a Louisiana swamp.","Hilary Swank,David Morrissey,Idris Elba",Stephen Hopkins
1690,Hostel (2005),"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.","Jay Hernandez,Barbara Nedeljakova,Derek Richardson",
1691,Hostel: Part II (2007),"Following a geographical tour of Slovakia, three young American women are lured into a hostel by a handsome young man who sells them to the twisted masters, ties them up and brings upon an unthinkable world of pain.","Lauren German,Heather Matarazzo,Bijou Phillips",
1694,Re-Animator (1985),A dedicated student at a medical college and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue when an odd new student arrives on campus.,"Jeffrey Combs,Bruce Abbott,Barbara Crampton",
1696,"Devil's Rejects, The (2005)","The sequel to House of 1000 Corpses â€“ the Firefly family are ambushed at their isolated home by Sheriff Wydell and a squad of armed men guns blazing â€“ yet only Otis and his sister, Baby, manage to escape the barrage of bullets unharmed. Hiding out in a backwater motel, the wanted siblings wait to rendezvous with their errant father, Captain Spaulding, killing whoever happens to stand in their way.","Sid Haig,Bill Moseley,Sheri Moon Zombie",
1698,Anatomy (Anatomie) (2000),"Medical student Paula Henning wins a place at an exclusive Heidelberg medical school. When the body of a young man she met on the train turns up on her dissection table, she begins to investigate the mysterious circumstances surrounding his death, and uncovers a gruesome conspiracy perpetrated by an Antihippocratic secret society operating within the school.","Franka Potente,Benno FÃ¼rmann,Anna Loos",
1700,Misery (1990),"Novelist Paul Sheldon crashes his car on a snowy Colorado road. He is found by Annie Wilkes, the ""number one fan"" of Paul's heroine Misery Chastaine. Annie is also somewhat unstable, and Paul finds himself crippled, drugged and at her mercy.","James Caan,Kathy Bates,Richard Farnsworth",Rob Reiner
1710,Copycat (1995),An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"Sigourney Weaver,Holly Hunter,Will Patton",Jon Amiel
1842,"Legend of Boggy Creek, The (1972)",A documentary-style drama based on true accounts of the Fouke Monster in Arkansas. It focuses on the lives of back country people and their culture while detailing certain sightings of the monster. This title was a drive-in B movie favorite for it's time.,"Vern Stierman,Chuck Pierce Jr.,William Stumpp",Charles B. Pierce
1872,Rise: Blood Hunter (2007),A young reporter (Lucy Liu) wakes up and realises that she is not alive anymore. She goes on a personal vendetta for a group a cultists that are responsible for her death.,"Lucy Liu,Michael Chiklis,Carla Gugino",
1933,"Others, The (2001)","Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.","Nicole Kidman,Fionnula Flanagan,Christopher Eccleston",
1961,My Name Is Bruce (2007),B Movie Legend Bruce Campbell is mistaken for his character Ash from the Evil Dead trilogy and forced to fight a real monster in a small town in Oregon.,"Bruce Campbell,Taylor Sharpe,Logan Martin",Bruce Campbell
1970,"Grudge, The (2004)","American nurse, Karen Davis moves to Tokyo and encounters a vengeful supernatural spirit known as The Grudge that often possesses its victims. When a series of horrifying and mysterious deaths occur â€“ with the spirit passing its curse onto each victim - Karen must find away to break the spell before she becomes the spirit's next victim.","Sarah Michelle Gellar,Jason Behr,William Mapother",
